# DDHWSF Forecasts of NDQ90year,NDQ90_predictions
1979,4.388529118599771
1980,2.1635377753681446
1981,6.800660668023792
1982,4.744043047940949
1983,11.90068475387593
1984,8.141567287742046
1985,7.0663281368201165
1986,3.874748608442167
1987,5.018019215127175
1988,14.31489483643567
1989,4.798923658198683
1990,11.132700934865989
1991,4.659794544979455
1992,9.085414491498657
1993,3.9497500497369966
1994,4.740421494538358
1995,5.517271309206757
1996,6.220848895232184
1997,10.788136602219694
1998,7.135342344050352
1999,9.486646150856336
2000,11.741810365157237
2001,4.615389620801188
2002,5.623714929485069
2003,15.276000222907978
2004,9.55674359809266
2005,9.629065270229306
2006,10.913298121377842
2007,15.051623977467028
2008,13.555271521532564
2009,12.742729231754378
2010,4.851767351886341
2011,13.55220792166678
2012,9.772323203629059
2013,7.085024281013727
2014,12.140606595222366
2015,12.664680341030735
2016,11.703452317465093
2017,13.683632353908745
2018,11.86235011461154
2019,14.673415431789227
2020,21.39269134345941
