year,NumberHWDays
1940,0.0
1941,0.0
1942,0.0
1943,7.0
1944,0.0
1945,0.0
1946,3.0
1947,0.0
1948,0.0
1949,0.0
1950,3.0
1951,0.0
1952,7.0
1953,3.0
1954,0.0
1955,0.0
1956,4.0
1957,0.0
1958,3.0
1959,4.0
1960,0.0
1961,0.0
1962,0.0
1963,13.0
1964,9.0
1965,0.0
1966,3.0
1967,4.0
1968,8.0
1969,4.0
1970,0.0
1971,3.0
1972,3.0
1973,0.0
1974,0.0
1975,3.0
1976,0.0
1977,4.0
1978,0.0
1979,11.0
1980,0.0
1981,0.0
1982,4.0
1983,10.0
1984,0.0
1985,3.0
1986,3.0
1987,0.0
1988,0.0
1989,3.0
1990,0.0
1991,3.0
1992,9.0
1993,0.0
1994,17.0
1995,7.0
1996,6.0
1997,8.0
1998,13.0
1999,4.0
2000,13.0
2001,4.0
2002,7.0
2003,3.0
2004,0.0
2005,8.0
2006,4.0
2007,15.0
2008,3.0
2009,3.0
2010,12.0
2011,12.0
2012,24.0
2013,8.0
2014,11.0
2015,17.0
2016,9.0
2017,9.0
2018,8.0
2019,14.0
2020,3.0
2021,10.0
2022,13.0
