year,NumberHWDays
1940,0.0
1941,0.0
1942,0.0
1943,3.0
1944,0.0
1945,0.0
1946,3.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,3.0
1953,0.0
1954,0.0
1955,0.0
1956,3.0
1957,0.0
1958,3.0
1959,4.0
1960,0.0
1961,0.0
1962,0.0
1963,4.0
1964,6.0
1965,0.0
1966,0.0
1967,3.0
1968,8.0
1969,3.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,4.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,3.0
1983,8.0
1984,0.0
1985,3.0
1986,3.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,4.0
1993,0.0
1994,9.0
1995,0.0
1996,3.0
1997,4.0
1998,3.0
1999,0.0
2000,6.0
2001,0.0
2002,0.0
2003,3.0
2004,0.0
2005,7.0
2006,0.0
2007,14.0
2008,0.0
2009,0.0
2010,7.0
2011,0.0
2012,16.0
2013,8.0
2014,3.0
2015,13.0
2016,6.0
2017,6.0
2018,4.0
2019,11.0
2020,0.0
2021,6.0
2022,8.0
