year,NumberHWDays
0,2.0
1,4.0
2,1.0
3,2.0
4,2.0
5,5.0
6,25.0
7,2.0
8,0.0
9,0.0
10,6.0
11,4.0
12,8.0
13,9.0
14,14.0
15,4.0
16,6.0
17,2.0
18,2.0
19,5.0
20,5.0
21,33.0
22,3.0
23,19.0
24,8.0
25,28.0
26,6.0
27,3.0
28,2.0
29,5.0
30,14.0
31,11.0
32,28.0
33,16.0
34,3.0
35,2.0
36,12.0
37,9.0
38,8.0
39,5.0
40,8.0
41,8.0
42,11.0
43,0.0
44,1.0
45,1.0
46,5.0
47,3.0
48,4.0
49,13.0
50,25.0
51,17.0
52,7.0
53,16.0
54,9.0
55,6.0
56,8.0
57,21.0
58,3.0
59,5.0
60,20.0
61,10.0
62,2.0
63,3.0
64,11.0
65,2.0
66,16.0
67,7.0
68,8.0
69,0.0
70,10.0
71,7.0
72,4.0
73,21.0
74,5.0
75,7.0
76,1.0
77,5.0
78,25.0
79,10.0
80,4.0
81,12.0
82,3.0
83,4.0
84,1.0
85,8.0
86,1.0
87,8.0
88,7.0
89,12.0
90,4.0
91,1.0
92,10.0
93,4.0
94,2.0
95,20.0
96,20.0
97,0.0
98,9.0
99,10.0
100,4.0
101,11.0
102,15.0
103,8.0
104,9.0
105,8.0
106,8.0
107,5.0
108,24.0
109,3.0
110,18.0
111,4.0
112,2.0
113,3.0
114,5.0
115,3.0
116,1.0
117,5.0
118,3.0
119,7.0
120,1.0
121,26.0
122,1.0
123,17.0
124,15.0
125,12.0
126,9.0
127,2.0
128,11.0
129,3.0
130,8.0
131,17.0
132,5.0
133,14.0
134,32.0
135,5.0
136,5.0
137,2.0
138,12.0
139,21.0
140,6.0
141,3.0
142,8.0
143,7.0
144,0.0
145,17.0
146,6.0
147,3.0
148,21.0
149,15.0
150,7.0
151,5.0
152,39.0
153,1.0
154,1.0
155,6.0
156,8.0
157,3.0
158,2.0
159,2.0
160,4.0
161,4.0
162,2.0
163,9.0
164,5.0
165,4.0
166,2.0
167,2.0
168,17.0
169,3.0
170,1.0
171,0.0
172,3.0
173,2.0
174,5.0
175,4.0
176,17.0
177,1.0
178,0.0
179,7.0
180,10.0
181,21.0
182,0.0
183,6.0
184,7.0
185,5.0
186,12.0
187,7.0
188,24.0
189,18.0
190,13.0
191,28.0
192,22.0
193,1.0
194,10.0
195,10.0
196,4.0
197,5.0
198,27.0
199,6.0
200,29.0
201,19.0
202,9.0
203,7.0
204,11.0
205,16.0
206,10.0
207,11.0
208,15.0
209,1.0
210,2.0
211,4.0
212,18.0
213,18.0
214,6.0
215,2.0
216,3.0
217,7.0
218,7.0
219,1.0
220,9.0
221,34.0
222,16.0
223,9.0
224,16.0
225,5.0
226,7.0
227,8.0
228,27.0
229,2.0
230,4.0
231,5.0
232,1.0
233,12.0
234,1.0
235,5.0
236,8.0
237,1.0
238,5.0
239,2.0
240,7.0
241,4.0
242,6.0
243,2.0
244,0.0
245,4.0
246,14.0
247,7.0
248,4.0
249,11.0
250,1.0
251,18.0
252,8.0
253,9.0
254,24.0
255,14.0
256,7.0
257,45.0
258,26.0
259,4.0
260,10.0
261,30.0
262,3.0
263,11.0
264,20.0
265,10.0
266,3.0
267,1.0
268,9.0
269,5.0
270,6.0
271,11.0
272,13.0
273,10.0
274,3.0
275,23.0
276,2.0
277,6.0
278,33.0
279,13.0
280,21.0
281,1.0
282,0.0
283,5.0
284,1.0
285,16.0
286,1.0
287,13.0
288,10.0
289,0.0
290,20.0
291,5.0
292,8.0
293,11.0
294,5.0
295,9.0
296,4.0
297,14.0
298,29.0
299,9.0
300,5.0
301,15.0
302,3.0
303,8.0
304,1.0
305,3.0
306,11.0
307,12.0
308,4.0
309,0.0
310,15.0
311,12.0
312,1.0
313,3.0
314,9.0
315,12.0
316,5.0
317,14.0
318,5.0
319,5.0
320,5.0
321,20.0
322,5.0
323,18.0
324,14.0
325,9.0
326,5.0
327,3.0
328,0.0
329,1.0
330,8.0
331,8.0
332,3.0
333,13.0
334,11.0
335,3.0
336,9.0
337,6.0
338,8.0
339,7.0
340,18.0
341,0.0
342,15.0
343,1.0
344,31.0
