CV Test Sol
1.049073174446155 1.060172810162948 "[6 6 7 5 4 3 2 2 4 1 3 2 6 6 7 6 1 1 2 1 2 2 3 2 3 5 3 2 2 7 4 2 1 6 3 3 5
 0 0 6 4 1 2 6 0 7 4 6 4 2 5 5 3 7 2 7 3 5 1 5 5 4 7 6 0 5 6 4 1 4 0 2 7 3
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]"
1.040467208975441 1.009255628053157 "[2 7 2 6 3 7 2 2 7 5 7 1 6 1 2 1 7 1 6 4 4 5 7 1 3 3 1 7 3 6 1 1 5 3 1 1 4
 4 1 2 2 7 0 5 1 2 7 3 0 4 4 6 2 5 7 3 2 1 7 2 4 5 4 3 6 7 4 5 2 2 1 4 2 0
 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0]"
1.0446859107141022 1.0196672110774518 "[1 1 5 5 3 5 2 1 3 2 7 3 1 7 3 5 7 5 7 3 3 7 3 4 2 6 1 6 2 1 1 4 6 7 5 1 4
 3 5 7 3 1 0 2 4 6 7 0 3 5 1 4 3 3 6 6 1 3 7 2 7 7 5 2 7 5 2 5 2 3 0 1 3 4
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 1 1 0 1 0]"
1.0645986074556189 1.0330275673828435 "[6 4 1 2 4 4 3 2 5 6 2 6 2 1 6 5 4 2 6 3 6 6 5 1 3 6 3 3 7 7 1 4 1 7 5 5 2
 2 1 5 2 0 0 5 5 4 0 5 1 6 0 7 2 1 3 3 7 4 6 5 1 3 3 6 3 2 2 0 6 2 4 2 6 4
 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1]"
1.035736743398806 1.0047743533038778 "[1 4 2 4 3 3 2 1 2 5 7 6 7 1 3 2 4 7 4 6 7 5 5 1 4 6 1 1 3 4 7 5 1 1 1 6 3
 6 3 3 0 1 4 1 4 0 7 1 4 2 6 3 1 2 2 4 4 2 1 6 2 0 2 0 6 1 5 5 7 5 0 6 0 5
 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1]"
1.0544951359772596 1.0151276469864872 "[1 1 7 5 6 3 6 5 3 1 3 5 3 3 1 7 5 6 1 5 4 1 1 1 1 1 6 5 1 1 3 2 1 7 7 6 3
 2 4 0 1 3 1 4 1 1 5 5 3 4 0 6 2 4 4 2 0 3 5 3 4 3 5 7 3 2 0 1 7 7 4 5 2 0
 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]"
1.0482518791445437 1.0446168434048309 "[3 5 5 2 6 1 6 6 3 1 6 1 1 2 1 5 6 3 4 5 7 2 5 7 6 3 2 1 6 4 7 3 6 3 2 1 4
