year,NumberHWDays
0,3.0
1,1.0
2,0.0
3,0.0
4,2.0
5,2.0
6,19.0
7,0.0
8,3.0
9,7.0
10,0.0
11,8.0
12,11.0
13,8.0
14,16.0
15,7.0
16,2.0
17,5.0
18,0.0
19,20.0
20,7.0
21,21.0
22,5.0
23,25.0
24,0.0
25,8.0
26,12.0
27,8.0
28,0.0
29,11.0
30,39.0
31,10.0
32,38.0
33,5.0
34,7.0
35,2.0
36,22.0
37,29.0
38,0.0
39,5.0
40,5.0
41,2.0
42,9.0
43,2.0
44,5.0
45,1.0
46,5.0
47,2.0
48,27.0
49,11.0
50,39.0
51,9.0
52,7.0
53,1.0
54,8.0
55,0.0
56,9.0
57,24.0
58,1.0
59,9.0
60,40.0
61,2.0
62,16.0
63,16.0
64,6.0
65,1.0
66,42.0
67,10.0
68,0.0
69,2.0
70,5.0
71,1.0
72,9.0
73,29.0
74,0.0
75,28.0
76,0.0
77,11.0
78,13.0
79,0.0
80,25.0
81,13.0
82,24.0
83,4.0
84,8.0
85,28.0
86,0.0
87,0.0
88,25.0
89,24.0
90,1.0
91,7.0
92,17.0
93,0.0
94,5.0
95,10.0
96,3.0
97,2.0
98,50.0
99,18.0
100,17.0
101,28.0
102,19.0
103,14.0
104,13.0
105,2.0
106,20.0
107,30.0
108,27.0
109,7.0
110,12.0
111,0.0
112,0.0
113,0.0
114,5.0
115,10.0
116,4.0
117,2.0
118,3.0
119,11.0
120,0.0
121,11.0
122,4.0
123,25.0
124,34.0
125,10.0
126,8.0
127,1.0
128,0.0
129,0.0
130,1.0
131,12.0
132,11.0
133,4.0
134,37.0
135,17.0
136,17.0
137,2.0
138,9.0
139,13.0
140,2.0
141,8.0
142,7.0
143,13.0
144,9.0
145,21.0
146,16.0
147,6.0
148,33.0
149,18.0
150,1.0
151,4.0
152,30.0
153,2.0
154,0.0
155,4.0
156,5.0
157,8.0
158,6.0
159,5.0
160,5.0
161,0.0
162,0.0
163,21.0
164,0.0
165,11.0
166,4.0
167,7.0
168,8.0
169,0.0
170,3.0
171,0.0
172,1.0
173,4.0
174,2.0
175,32.0
176,10.0
177,9.0
178,1.0
179,7.0
180,2.0
181,9.0
182,0.0
183,18.0
184,12.0
185,4.0
186,16.0
187,7.0
188,9.0
189,17.0
190,15.0
191,25.0
192,3.0
193,16.0
194,7.0
195,16.0
196,12.0
197,3.0
198,37.0
199,5.0
200,34.0
201,8.0
202,23.0
203,2.0
204,23.0
205,4.0
206,17.0
207,21.0
208,26.0
209,0.0
210,0.0
211,23.0
212,8.0
213,28.0
214,4.0
215,0.0
216,1.0
217,9.0
218,5.0
219,8.0
220,8.0
221,19.0
222,6.0
223,24.0
224,5.0
225,0.0
226,12.0
227,7.0
228,9.0
229,14.0
230,13.0
231,5.0
232,13.0
233,2.0
234,0.0
235,8.0
236,29.0
237,1.0
238,10.0
239,8.0
240,11.0
241,5.0
242,3.0
243,8.0
244,0.0
245,5.0
246,13.0
247,3.0
248,5.0
249,16.0
250,14.0
251,3.0
252,2.0
253,7.0
254,4.0
255,7.0
256,21.0
257,27.0
258,54.0
259,0.0
260,4.0
261,33.0
262,2.0
263,14.0
264,21.0
265,10.0
266,2.0
267,3.0
268,3.0
269,2.0
270,4.0
271,10.0
272,12.0
273,9.0
274,16.0
275,26.0
276,1.0
277,10.0
278,27.0
279,5.0
280,41.0
281,6.0
282,0.0
283,17.0
284,4.0
285,2.0
286,10.0
287,32.0
288,7.0
289,0.0
290,10.0
291,26.0
292,14.0
293,10.0
294,0.0
295,18.0
296,3.0
297,28.0
298,32.0
299,4.0
300,3.0
301,5.0
302,12.0
303,2.0
304,0.0
305,3.0
306,8.0
307,5.0
308,2.0
309,16.0
310,22.0
311,7.0
312,7.0
313,4.0
314,10.0
315,0.0
316,2.0
317,5.0
318,3.0
319,7.0
320,2.0
321,9.0
322,8.0
323,16.0
324,28.0
325,13.0
326,28.0
327,16.0
328,5.0
329,5.0
330,1.0
331,0.0
332,6.0
333,35.0
334,2.0
335,2.0
336,8.0
337,3.0
338,18.0
339,17.0
340,8.0
341,4.0
342,6.0
343,7.0
344,36.0
345,8.0
346,6.0
347,10.0
348,7.0
349,7.0
350,8.0
351,0.0
352,11.0
353,9.0
354,32.0
355,4.0
356,14.0
357,7.0
358,5.0
359,4.0
360,18.0
361,6.0
362,11.0
363,23.0
364,15.0
365,4.0
366,7.0
367,7.0
368,18.0
369,5.0
370,2.0
371,2.0
372,5.0
373,6.0
374,12.0
375,3.0
376,10.0
377,6.0
378,27.0
379,1.0
380,16.0
381,17.0
382,15.0
383,9.0
384,12.0
385,5.0
386,16.0
387,6.0
388,4.0
389,10.0
390,7.0
391,3.0
392,6.0
393,0.0
394,10.0
395,7.0
396,27.0
397,21.0
398,0.0
399,20.0
400,4.0
401,23.0
402,18.0
403,9.0
404,21.0
405,5.0
406,23.0
407,1.0
408,23.0
409,32.0
410,1.0
411,11.0
412,6.0
413,2.0
414,13.0
415,18.0
416,10.0
417,0.0
418,13.0
419,10.0
420,6.0
421,0.0
422,6.0
423,2.0
424,33.0
425,15.0
426,4.0
427,0.0
428,5.0
429,4.0
430,0.0
431,0.0
432,2.0
433,8.0
434,15.0
435,7.0
436,32.0
437,4.0
438,8.0
439,36.0
440,9.0
441,4.0
442,20.0
443,24.0
444,0.0
445,2.0
446,1.0
447,17.0
448,12.0
449,3.0
450,29.0
451,5.0
452,3.0
453,23.0
454,8.0
455,3.0
456,25.0
457,46.0
458,17.0
459,0.0
460,25.0
461,1.0
462,23.0
463,3.0
464,1.0
465,11.0
466,14.0
467,0.0
468,12.0
469,10.0
470,10.0
471,1.0
472,11.0
473,3.0
474,4.0
475,7.0
476,1.0
477,7.0
478,16.0
479,13.0
480,8.0
481,4.0
482,7.0
483,10.0
484,0.0
485,8.0
486,3.0
487,1.0
488,2.0
489,0.0
490,36.0
491,0.0
492,12.0
493,17.0
494,5.0
495,0.0
496,18.0
497,7.0
498,6.0
499,3.0
500,4.0
501,4.0
502,0.0
503,11.0
504,24.0
505,1.0
506,29.0
507,1.0
508,0.0
509,0.0
510,33.0
511,1.0
512,1.0
513,34.0
514,16.0
515,14.0
516,1.0
517,5.0
518,4.0
519,13.0
520,17.0
521,2.0
522,5.0
523,1.0
524,17.0
525,8.0
526,3.0
527,13.0
528,4.0
529,0.0
530,0.0
531,38.0
532,15.0
533,5.0
534,9.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,7.0
543,0.0
544,10.0
545,11.0
546,1.0
547,30.0
548,10.0
549,27.0
550,4.0
551,18.0
552,1.0
553,2.0
554,20.0
555,5.0
556,9.0
557,53.0
558,14.0
559,4.0
560,33.0
561,6.0
562,2.0
563,11.0
564,2.0
565,2.0
566,11.0
567,7.0
568,11.0
569,0.0
570,2.0
571,9.0
572,9.0
573,0.0
574,3.0
575,7.0
576,0.0
577,8.0
578,0.0
579,3.0
580,0.0
581,4.0
582,8.0
583,9.0
584,4.0
585,0.0
586,10.0
587,25.0
588,4.0
589,35.0
590,2.0
591,2.0
592,1.0
593,5.0
594,6.0
595,2.0
596,26.0
597,7.0
598,17.0
599,1.0
600,0.0
601,0.0
602,0.0
603,0.0
604,5.0
605,22.0
606,10.0
607,8.0
608,11.0
609,2.0
610,0.0
611,9.0
612,9.0
613,20.0
614,4.0
615,24.0
616,20.0
617,1.0
618,15.0
619,16.0
620,0.0
621,4.0
622,13.0
623,16.0
624,4.0
625,0.0
626,0.0
627,9.0
628,2.0
629,3.0
630,2.0
631,4.0
632,22.0
633,6.0
634,16.0
635,2.0
636,0.0
637,27.0
638,0.0
639,6.0
640,4.0
641,10.0
642,4.0
643,1.0
644,3.0
645,3.0
646,5.0
647,36.0
648,6.0
649,7.0
650,37.0
651,9.0
652,8.0
653,0.0
654,13.0
655,2.0
656,19.0
657,15.0
658,4.0
659,6.0
660,19.0
661,4.0
662,0.0
663,3.0
664,15.0
665,45.0
666,2.0
667,8.0
668,2.0
669,2.0
670,6.0
671,1.0
672,11.0
673,3.0
674,0.0
675,8.0
676,0.0
677,12.0
678,1.0
679,26.0
680,6.0
681,10.0
682,0.0
683,16.0
684,0.0
685,12.0
686,24.0
687,3.0
688,10.0
689,3.0
690,7.0
691,6.0
692,5.0
693,9.0
694,0.0
695,8.0
696,5.0
697,8.0
698,0.0
699,6.0
700,22.0
701,11.0
702,5.0
703,5.0
704,3.0
705,6.0
706,8.0
707,3.0
708,7.0
709,6.0
710,0.0
711,12.0
712,2.0
713,9.0
714,10.0
715,0.0
716,2.0
717,10.0
718,9.0
719,2.0
720,3.0
721,0.0
722,4.0
723,1.0
724,1.0
725,22.0
726,0.0
727,9.0
728,2.0
729,2.0
730,29.0
731,2.0
732,14.0
733,9.0
734,21.0
735,19.0
736,29.0
737,33.0
738,0.0
739,11.0
740,2.0
741,4.0
742,9.0
743,25.0
744,15.0
745,15.0
746,13.0
747,0.0
748,2.0
749,8.0
750,4.0
751,1.0
752,1.0
753,0.0
754,7.0
755,19.0
756,1.0
757,6.0
758,7.0
759,9.0
760,14.0
761,13.0
762,6.0
763,0.0
764,7.0
765,6.0
766,3.0
767,6.0
768,1.0
769,2.0
770,0.0
771,10.0
772,0.0
773,0.0
774,7.0
775,2.0
776,3.0
777,5.0
778,1.0
779,45.0
780,0.0
781,6.0
782,1.0
783,2.0
784,2.0
785,7.0
786,20.0
787,5.0
788,3.0
789,8.0
790,3.0
791,10.0
792,20.0
793,22.0
794,0.0
795,15.0
796,12.0
797,0.0
798,2.0
799,5.0
800,3.0
801,0.0
802,1.0
803,5.0
804,27.0
805,20.0
806,8.0
807,25.0
808,0.0
809,7.0
810,7.0
811,19.0
812,4.0
813,0.0
814,3.0
815,9.0
816,0.0
817,1.0
818,15.0
819,13.0
820,15.0
821,0.0
822,2.0
823,8.0
824,44.0
825,2.0
826,3.0
827,9.0
828,2.0
829,2.0
830,17.0
831,24.0
832,2.0
833,1.0
834,37.0
835,0.0
836,13.0
837,20.0
838,0.0
839,2.0
840,8.0
841,9.0
842,15.0
843,5.0
844,4.0
845,16.0
846,13.0
847,3.0
848,13.0
849,1.0
850,13.0
851,14.0
852,2.0
853,3.0
854,5.0
855,6.0
856,13.0
857,0.0
858,16.0
859,7.0
860,13.0
861,46.0
862,3.0
863,9.0
864,0.0
865,8.0
866,5.0
867,2.0
868,1.0
869,7.0
870,11.0
871,16.0
872,0.0
873,1.0
874,7.0
875,6.0
876,9.0
877,1.0
878,3.0
879,8.0
880,2.0
881,12.0
882,15.0
883,9.0
884,7.0
885,22.0
886,22.0
887,1.0
888,8.0
889,0.0
890,15.0
891,0.0
892,0.0
893,21.0
894,0.0
895,2.0
896,17.0
897,7.0
898,2.0
899,9.0
900,11.0
901,6.0
902,14.0
903,9.0
904,7.0
905,12.0
906,22.0
907,4.0
908,2.0
909,7.0
910,4.0
911,2.0
912,14.0
913,17.0
914,12.0
915,10.0
916,7.0
917,10.0
918,9.0
919,0.0
920,18.0
921,5.0
922,12.0
923,70.0
924,19.0
925,12.0
926,8.0
927,8.0
928,8.0
929,4.0
930,6.0
931,15.0
932,20.0
933,21.0
934,20.0
935,18.0
936,2.0
937,0.0
938,2.0
939,0.0
940,0.0
941,5.0
942,4.0
943,12.0
944,8.0
945,7.0
946,6.0
947,18.0
948,3.0
949,4.0
950,2.0
951,9.0
952,5.0
953,4.0
954,14.0
955,6.0
956,5.0
957,2.0
958,0.0
959,7.0
960,5.0
961,19.0
962,10.0
963,0.0
964,5.0
965,18.0
966,0.0
967,10.0
968,6.0
969,22.0
970,20.0
971,2.0
972,3.0
973,0.0
974,4.0
975,1.0
976,10.0
977,1.0
978,4.0
979,8.0
980,16.0
981,0.0
982,0.0
983,9.0
984,0.0
985,24.0
986,7.0
987,1.0
988,9.0
989,10.0
990,14.0
991,31.0
992,21.0
993,1.0
994,0.0
995,0.0
996,5.0
997,25.0
998,14.0
999,20.0
1000,3.0
1001,13.0
1002,20.0
1003,10.0
1004,2.0
1005,8.0
1006,5.0
1007,0.0
1008,15.0
1009,2.0
1010,0.0
1011,5.0
1012,11.0
1013,2.0
1014,19.0
1015,15.0
1016,7.0
1017,15.0
1018,13.0
1019,14.0
1020,0.0
1021,1.0
1022,9.0
1023,8.0
1024,19.0
1025,3.0
1026,0.0
1027,12.0
1028,3.0
1029,9.0
1030,5.0
1031,1.0
1032,3.0
1033,11.0
1034,2.0
1035,9.0
1036,20.0
1037,6.0
1038,11.0
1039,0.0
1040,14.0
1041,3.0
1042,5.0
1043,17.0
1044,8.0
1045,13.0
1046,0.0
1047,2.0
1048,2.0
1049,6.0
1050,15.0
1051,26.0
1052,3.0
1053,11.0
1054,4.0
1055,0.0
1056,9.0
1057,8.0
1058,10.0
1059,5.0
1060,3.0
1061,6.0
1062,6.0
1063,6.0
1064,0.0
1065,2.0
1066,10.0
1067,3.0
1068,3.0
1069,1.0
1070,3.0
1071,14.0
1072,16.0
1073,65.0
1074,1.0
1075,6.0
1076,20.0
1077,7.0
1078,1.0
1079,7.0
1080,1.0
1081,13.0
1082,4.0
1083,7.0
1084,1.0
1085,8.0
1086,0.0
1087,13.0
1088,16.0
